Days,nitrogen,phosphorus,potassium
1,0,20.4,10.2
2,0,20.25,10.125
3,0,19.95,9.975
4,0,19.5,9.75
5,0,18.9,9.45
6,0,18.15,9.075
7,0,17.25,8.625
8,0,16.2,8.1
9,0,15,7.5
10,0,13.65,6.825
11,0,12.15,6.075
12,0,10.5,5.25
13,0,8.7,4.35
14,0,6.75,3.375
15,0,4.65,2.325
16,0,2.4,1.2
17,99.975,10.67,19.995
18,99.76,10.58,19.952
19,99.33,10.4,19.866
20,98.685,10.14,19.737
21,97.825,9.79,19.565
22,96.75,9.35,19.35
23,95.46,8.82,19.092
24,93.955,8.2,18.791
25,92.235,7.49,18.447
26,90.3,6.69,18.06
27,88.15,5.8,17.63
28,85.785,4.82,17.157
29,83.205,3.75,16.641
30,80.41,2.59,16.082
31,77.4,1.47,15.48
32,74.175,30,14.835
33,70.735,29.75,14.147
34,67.08,29.25,13.416
35,63.21,28.5,12.642
36,59.125,27.5,11.825
37,54.825,26.25,10.965
38,50.31,24.75,10.062
39,45.58,23,9.116
40,40.635,21,8.127
41,35.475,18.75,7.095
42,30.1,16.25,6.02
43,24.51,13.5,4.902
44,18.705,10.5,3.741
45,12.685,7.25,2.537
46,6.45,3.75,1.29
47,125.55,19.995,19.995
48,125.28,19.952,19.952
49,124.74,19.866,19.866
50,123.93,19.737,19.737
51,122.85,19.565,19.565
52,121.5,19.35,19.35
53,119.88,19.092,19.092
54,117.99,18.791,18.791
55,115.83,18.447,18.447
56,113.4,18.06,18.06
57,110.7,17.63,17.63
58,107.73,17.157,17.157
59,104.49,16.641,16.641
60,100.98,16.082,16.082
61,97.2,15.48,15.48
62,93.15,14.835,14.835
63,88.56,14.147,14.147
64,83.97,13.416,13.416
65,79.11,12.642,12.642
66,73.98,11.825,11.825
67,68.58,10.965,10.965
68,62.91,10.062,10.062
69,56.97,9.116,9.116
70,50.76,8.127,8.127
71,44.28,7.095,7.095
72,37.53,6.02,6.02
73,30.51,4.902,4.902
74,23.22,3.741,3.741
75,15.66,2.537,2.537
76,7.83,1.29,1.29
77,125.55,19.995,51.15
78,125.28,19.952,51.04
79,124.74,19.866,50.82
80,123.93,19.737,50.49
81,122.85,19.565,50.05
82,121.5,19.35,49.5
83,119.88,19.092,48.84
84,117.99,18.791,48.07
85,115.83,18.447,47.19
86,113.4,18.06,46.2
87,110.7,17.63,45.1
88,107.73,17.157,43.89
89,104.49,16.641,42.57
90,100.98,16.082,41.14
91,97.2,15.48,39.6
92,93.15,14.835,37.95
93,88.56,14.147,36.19
94,83.97,13.416,34.32
95,79.11,12.642,32.34
96,73.98,11.825,30.25
97,68.58,10.965,28.05
98,62.91,10.062,25.74
99,56.97,9.116,23.32
100,50.76,8.127,20.79
101,44.28,7.095,18.15
102,37.53,6.02,15.4
103,30.51,4.902,12.54
104,23.22,3.741,9.57
105,15.66,2.537,6.49
106,7.83,1.29,3.3
