days,N,P,K
1,0,4.8,2.4
2,0,4.164378017,2.079733533
3,0,3.612925889,1.80220482
4,0,3.13449774,1.56171075
5,0,2.719423642,1.353309256
6,0,2.359314174,1.172717767
7,0,2.04689085,1.016225194
8,0,1.775839013,0.880615672
9,0,1.540680197,0.763102476
10,0,1.336661405,0.661270754
11,0,1.159659036,0.573027901
12,0,1.006095541,0.496560558
13,0,0.872867115,0.430297352
14,0,0.757280964,0.372876597
15,0,0.657000875,0.323118317
16,0,0.57,0.28
17,23.8,9.96,4.76
18,23.14344828,9.685241379,4.628689655
19,22.48689655,9.410482759,4.49737931
20,21.83034483,9.135724138,4.366068966
21,21.1737931,8.860965517,4.234758621
22,20.51724138,8.586206897,4.103448276
23,19.86068966,8.311448276,3.972137931
24,19.20413793,8.036689655,3.840827586
25,18.54758621,7.761931034,3.709517241
26,17.89103448,7.487172414,3.578206897
27,17.23448276,7.212413793,3.446896552
28,16.57793103,6.937655172,3.315586207
29,15.92137931,6.662896552,3.184275862
30,15.26482759,6.388137931,3.052965517
31,14.60827586,6.11337931,2.921655172
32,13.95172414,5.83862069,2.790344828
33,13.29517241,5.563862069,2.659034483
34,12.63862069,5.289103448,2.527724138
35,11.98206897,5.014344828,2.396413793
36,11.32551724,4.739586207,2.265103448
37,10.66896552,4.464827586,2.133793103
38,10.01241379,4.190068966,2.002482759
39,9.355862069,3.915310345,1.871172414
40,8.699310345,3.640551724,1.739862069
41,8.042758621,3.365793103,1.608551724
42,7.386206897,3.091034483,1.477241379
43,6.729655172,2.816275862,1.345931034
44,6.073103448,2.541517241,1.21462069
45,5.416551724,2.266758621,1.083310345
46,4.76,1.992,0.952
47,29.8,4.76,4.76
48,28.97793103,4.628689655,4.628689655
49,28.15586207,4.49737931,4.49737931
50,27.3337931,4.366068966,4.366068966
51,26.51172414,4.234758621,4.234758621
52,25.68965517,4.103448276,4.103448276
53,24.86758621,3.972137931,3.972137931
54,24.04551724,3.840827586,3.840827586
55,23.22344828,3.709517241,3.709517241
56,22.40137931,3.578206897,3.578206897
57,21.57931034,3.446896552,3.446896552
58,20.75724138,3.315586207,3.315586207
59,19.93517241,3.184275862,3.184275862
60,19.11310345,3.052965517,3.052965517
61,18.29103448,2.921655172,2.921655172
62,17.46896552,2.790344828,2.790344828
63,16.64689655,2.659034483,2.659034483
64,15.82482759,2.527724138,2.527724138
65,15.00275862,2.396413793,2.396413793
66,14.18068966,2.265103448,2.265103448
67,13.35862069,2.133793103,2.133793103
68,12.53655172,2.002482759,2.002482759
69,11.71448276,1.871172414,1.871172414
70,10.89241379,1.739862069,1.739862069
71,10.07034483,1.608551724,1.608551724
72,9.248275862,1.477241379,1.477241379
73,8.426206897,1.345931034,1.345931034
74,7.604137931,1.21462069,1.21462069
75,6.782068966,1.083310345,1.083310345
76,5.96,0.952,0.952
77,29.8,4.76,12.1
78,28.97793103,4.628689655,11.7662069
79,28.15586207,4.49737931,11.43241379
80,27.3337931,4.366068966,11.09862069
81,26.51172414,4.234758621,10.76482759
82,25.68965517,4.103448276,10.43103448
83,24.86758621,3.972137931,10.09724138
84,24.04551724,3.840827586,9.763448276
85,23.22344828,3.709517241,9.429655172
86,22.40137931,3.578206897,9.095862069
87,21.57931034,3.446896552,8.762068966
88,20.75724138,3.315586207,8.428275862
89,19.93517241,3.184275862,8.094482759
90,19.11310345,3.052965517,7.760689655
91,18.29103448,2.921655172,7.426896552
92,17.46896552,2.790344828,7.093103448
93,16.64689655,2.659034483,6.759310345
94,15.82482759,2.527724138,6.425517241
95,15.00275862,2.396413793,6.091724138
96,14.18068966,2.265103448,5.757931034
97,13.35862069,2.133793103,5.424137931
98,12.53655172,2.002482759,5.090344828
99,11.71448276,1.871172414,4.756551724
100,10.89241379,1.739862069,4.422758621
101,10.07034483,1.608551724,4.088965517
102,9.248275862,1.477241379,3.755172414
103,8.426206897,1.345931034,3.42137931
104,7.604137931,1.21462069,3.087586207
105,6.782068966,1.083310345,2.753793103
106,5.96,0.952,2.42
