light_meter,sensor
6630,7377.5
980,1024.17
1350,1208.33
520,565
1310,1376.67
4650,4876.67
4660,4892.5
4680,4910.83
4660,4875.83
3140,2740.83
1780,1677.5
390,375.83
720,705.831
8,5.83
4,4.17
7,6.67
6570,7279.17
2210,2456.67
530,582.5
2180,1924.17
330,308.33
11900,16062.78
26900,46014.44
10200,13641.11
3020,3830
2900,3698.33
2950,3714.17
3010,3789.17
3040,3921.67
3060,3945.83
3070,3956.67
3090,3985.03
3130,4031.67
3160,4080
3180,4105.83
3210,4130.93
3230,4184.17
3270,4215.83
3300,4276.67
3380,4390
3460,4464.17
3590,4650.83
4060,5122.5
4160,5305.83
4330,5478.33
4470,5662.5
4590,5772.5
4800,6142.5
4910,6285.83
5060,6426.67
5200,6791.67
5420,7004.17
5550,7217.5
5670,7471.67
5840,7728.33
7060,9542.5
7430,10656.67
8260,11888.33
9090,13905.03
9300,14035.83
9990,14263.33
10580,17000
10690,15765
11450,17624.17
13040,19777.5
14620,22908.33
17450,25130
20900,30662.5
22400,35864.18
21300,33575.83
1850,29463.33
17300,26620
16300,26620
19100,29820
11000,15295
10600,14274.17
27400,34642.5
28300,41510
32600,48196.66
33000,48155
