days,N,P,K
1,4.2,15.5,3.07
2,3.976,14.67333333,2.906266667
3,3.752,13.84666667,2.742533333
4,3.528,13.02,2.5788
5,3.304,12.19333333,2.415066667
6,3.08,11.36666667,2.251333333
7,2.856,10.54,2.0876
8,2.632,9.713333333,1.923866667
9,2.408,8.886666667,1.760133333
10,2.184,8.06,1.5964
11,1.96,7.233333333,1.432666667
12,1.736,6.406666667,1.268933333
13,1.512,5.58,1.1052
14,1.288,4.753333333,0.941466667
15,1.064,3.926666667,0.777733333
16,0.84,3.1,0.614
17,18.6,31,12.4
18,18.29632653,30.49387755,12.19755102
19,17.99265306,29.9877551,11.99510204
20,17.68897959,29.48163265,11.79265306
21,17.38530612,28.9755102,11.59020408
22,17.08163265,28.46938776,11.3877551
23,16.77795918,27.96326531,11.18530612
24,16.47428571,27.45714286,10.98285714
25,16.17061224,26.95102041,10.78040816
26,15.86693878,26.44489796,10.57795918
27,15.56326531,25.93877551,10.3755102
28,15.25959184,25.43265306,10.17306122
29,14.95591837,24.92653061,9.970612245
30,14.6522449,24.42040816,9.768163265
31,14.34857143,23.91428571,9.565714286
32,14.04489796,23.40816327,9.363265306
33,13.74122449,22.90204082,9.160816327
34,13.43755102,22.39591837,8.958367347
35,13.13387755,21.88979592,8.755918367
36,12.83020408,21.38367347,8.553469388
37,12.52653061,20.87755102,8.351020408
38,12.22285714,20.37142857,8.148571429
39,11.91918367,19.86530612,7.946122449
40,11.6155102,19.35918367,7.743673469
41,11.31183673,18.85306122,7.54122449
42,11.00816327,18.34693878,7.33877551
43,10.7044898,17.84081633,7.136326531
44,10.40081633,17.33469388,6.933877551
45,10.09714286,16.82857143,6.731428571
46,9.793469388,16.32244898,6.528979592
47,9.489795918,15.81632653,6.326530612
48,9.186122449,15.31020408,6.124081633
49,8.88244898,14.80408163,5.921632653
50,8.57877551,14.29795918,5.719183673
51,8.275102041,13.79183673,5.516734694
52,7.971428571,13.28571429,5.314285714
53,7.667755102,12.77959184,5.111836735
54,7.364081633,12.27346939,4.909387755
55,7.060408163,11.76734694,4.706938776
56,6.756734694,11.26122449,4.504489796
57,6.453061224,10.75510204,4.302040816
58,6.149387755,10.24897959,4.099591837
59,5.845714286,9.742857143,3.897142857
60,5.542040816,9.236734694,3.694693878
61,5.238367347,8.730612245,3.492244898
62,4.934693878,8.224489796,3.289795918
63,4.631020408,7.718367347,3.087346939
64,4.327346939,7.212244898,2.884897959
65,4.023673469,6.706122449,2.68244898
66,3.72,6.2,2.48
67,9.25,15.5,6.25
68,8.860526316,14.84736842,5.986842105
69,8.471052632,14.19473684,5.723684211
70,8.081578947,13.54210526,5.460526316
71,7.692105263,12.88947368,5.197368421
72,7.302631579,12.23684211,4.934210526
73,6.913157895,11.58421053,4.671052632
74,6.523684211,10.93157895,4.407894737
75,6.134210526,10.27894737,4.144736842
76,5.744736842,9.626315789,3.881578947
77,5.355263158,8.973684211,3.618421053
78,4.965789474,8.321052632,3.355263158
79,4.576315789,7.668421053,3.092105263
80,4.186842105,7.015789474,2.828947368
81,3.797368421,6.363157895,2.565789474
82,3.407894737,5.710526316,2.302631579
83,3.018421053,5.057894737,2.039473684
84,2.628947368,4.405263158,1.776315789
85,2.239473684,3.752631579,1.513157895
86,1.85,3.1,1.25
